mechanism_id,structural_status,practical_status,contextual_status,overall_status,blocking_reasons,supported_role,prohibited_promotions
arrhenius_temperature_dependence,not_identifiable_from_current_data,blocked_response_definition,blocked_protocol_confounding,not_identifiable_from_current_data,insufficient_protocol_metadata; missing_response_definition; unavailable; capacity_is_not_rate_constant; temperature_correlation_is_not_arrhenius_evidence,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
capacity_fade_trajectory,not_a_physical_mechanism_identifier,descriptive_evaluator_possible,bounded_to_observed_cycle_summary,bounded_empirical_evaluator_candidate,mechanism_not_identified; no_parameter_fitting_authorized,descriptive_evaluator,mechanism confirmed; parameter estimated; predictive model evidence
change_point_or_regime_transition,observational_relation_only,confounded_by_cycle_age,confounded_by_protocol,descriptive_only,correlation_not_causality,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
charge_discharge_efficiency_relation,observational_relation_only,confounded_by_cycle_age,confounded_by_protocol,descriptive_only,missing_charge_side; correlation_not_causality,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
cycle_duration_capacity_coupling,observational_relation_only,confounded_by_cycle_age,confounded_by_protocol,descriptive_only,insufficient_protocol_metadata; correlation_not_causality,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
diffusion_transport,missing_state_observation,blocked_missing_geometry,blocked_missing_boundary_conditions,not_identifiable_from_current_data,missing_boundary_conditions; missing_geometry; missing_initial_conditions; insufficient_time_resolution; blocked_protocol_not_transport_identifying; missing_internal_state; voltage_is_not_concentration_field; cycle_index_is_not_diffusion_time,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
empirical_monotonic_degradation,not_a_physical_mechanism_identifier,descriptive_evaluator_possible,bounded_to_observed_cycle_summary,descriptive_only,mechanism_not_identified; no_parameter_fitting_authorized,descriptive_evaluator,mechanism confirmed; parameter estimated; predictive model evidence
observation_consistency_only,representation_only,descriptive_evaluator_possible,bounded_to_observed_cycle_summary,descriptive_only,mechanism_not_identified; no_parameter_fitting_authorized,descriptive_evaluator,mechanism confirmed; parameter estimated; predictive model evidence
resistance_growth_trajectory,not_identifiable_from_current_data,blocked_unknown_measurement_definition,blocked_missing_frequency_axis,not_identifiable_from_current_data,missing_frequency_axis; insufficient_protocol_metadata; unavailable; equivalent_circuit_fitting_not_authorized,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
temperature_capacity_coupling,observational_relation_only,confounded_by_cycle_age,confounded_by_protocol,descriptive_only,correlation_not_causality,readiness_audit_only,mechanism confirmed; parameter estimated; predictive model evidence
