gap_id,mechanism_id,missing_concept,missing_variable,required_unit,required_context,acquisition_method_candidate,external_data_required,current_source_can_be_enriched,scientific_impact,priority,prohibited_workaround
gap_boundary_conditions,diffusion_transport,context,boundary conditions,not_applicable,defined transient boundary and driving force,transport-identifying protocol metadata,True,False,blocks diffusion execution,high,assuming boundary conditions from general discharge summaries
gap_concentration_field,diffusion_transport,field,internal concentration field,mol/m^3,state or observation model linked to concentration,GITT/PITT/EIS or physics observation model,True,False,prevents diffusion state inference,high,using terminal voltage as concentration field
gap_controlled_temperature_groups,arrhenius_temperature_dependence,context,controlled temperature condition,K,multiple comparable controlled-temperature groups,temperature-controlled replicate cycling,True,False,blocks Arrhenius applicability,high,using transient measured cell temperature as controlled condition
gap_electrode_geometry,diffusion_transport,physical_entity,electrode or particle length scale,m,geometry and characteristic diffusion length,cell/electrode metadata acquisition,True,False,prevents transport-parameter semantics,high,using arbitrary default geometry
gap_frequency_axis,resistance_growth_trajectory,observation,EIS frequency axis,Hz,frequency-resolved impedance spectra for EIS claims,EIS source acquisition,True,False,blocks equivalent-circuit interpretation,medium,inferring frequency-dependent impedance from one scalar
gap_physical_elapsed_time,diffusion_transport,observation,transient physical time axis,s,fine-grained elapsed time within transport transient,raw time-series protocol audit,True,True,cycle index cannot parameterize diffusion time,medium,using cycle index as seconds or hours
gap_protocol_comparability,arrhenius_temperature_dependence,context,charge/discharge protocol metadata,not_applicable,same or explicitly comparable protocol groups,protocol/cutoff/current metadata enrichment,True,True,prevents mechanism comparison across cells,high,assuming missing protocol metadata implies equality
gap_rate_like_response,arrhenius_temperature_dependence,result,rate-like response,context-specific rate unit,explicit denominator and response semantics,protocol-level response definition,True,False,blocks activation-energy interpretation,high,treating capacity itself as a rate constant
gap_resistance_definition,resistance_growth_trajectory,observation,resistance measurement definition,ohm,explicit measurement method and context,resistance/EIS metadata enrichment,True,True,blocks impedance interpretation,medium,treating missing resistance as zero
gap_uncertainty_records,capacity_fade_trajectory,uncertainty,measurement uncertainty,source-specific,measurement variability or calibration records,source calibration metadata,False,True,limits practical identifiability and confidence intervals,medium,using zero uncertainty when source does not provide it
