case_study_version,source_artifact,source_sha256,claim,status,evidence
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,retrospective offline failure-risk ranking,allowed,Asset/time-aware compact metrics exist; no deployment claim follows.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset/time-aware validation framework demonstration,allowed,"Asset-disjoint, time-aware, and combined validation outputs are available."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,top-risk concentration as diagnostic screening signal,conditional,Combined top-risk rows show concentration but include substantial false-positive burden and repeated-origin dependence.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,candidate for further validation,conditional,"Some v1.5.4 model-status rows show signal, but trust closeout does not select a representative model."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,production-ready failure prediction,prohibited,No production_ready state exists and no representative model is selected.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,calibrated 7-day failure probability,prohibited,"No calibration model, independent calibration period, or operational probability validation is used."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,84.6 percent prediction success,prohibited,Top-risk failed-asset capture is not accuracy and is affected by repeated daily origins.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,maintenance recommendation or replacement automation,prohibited,"No intervention effect, cost model, or prospective deployment evidence exists."
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,survival probability or RUL estimate,prohibited,Survival and RUL modeling are deferred/not ready.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,root-cause discovery from SMART features,prohibited,Feature importance/SHAP is not run and SMART semantics are not causal evidence.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,generalization beyond Backblaze 2013,prohibited,"No external year, company, fleet, or drive-population holdout is validated."
