field_or_pattern,leakage_type,availability_time,risk_level,allowed_as_feature,allowed_as_metadata,mitigation,validation_test
quality_result,quality result measured after production,after_quality_measurement,high,false,true,Use only as target or outcome metadata; never include in feature matrix,Assert target columns are excluded from feature list
rework_result,rework/inspection outcome,after_inspection,high,false,true,Use as outcome/disposition metadata only,Assert post-inspection columns are forbidden features
final_disposition,final disposition,after_quality_decision,high,false,true,Use only for reporting outcome distribution,Assert final disposition is absent from training features
defect_code_after_inspection,defect code generated after inspection,after_inspection,high,false,true,Use as target label family only when explicitly defined,Assert defect-code patterns are blocked from feature tier
downstream_equipment_signal,downstream equipment signal,after_current_process_step,high,false,true,Limit features to signals available before prediction horizon,Assert downstream step timestamps are not before observation horizon
future_sensor_window,future sensor windows,future_relative_to_prediction,high,false,false,Use only past or current-window aggregates fitted inside folds,Assert feature names and timestamps do not reference future windows
lot_quality_aggregate_using_test_rows,lot-level aggregate using test rows,after_full_lot_or_dataset_available,high,false,true,Compute aggregates inside training fold only or exclude,Assert aggregation functions are train-only
global_target_encoding,target encoding across groups,after_target_observation,high,false,false,Fit encoders inside each training fold and never across held-out groups,Assert target encoders are fold-local
random_split_same_lot,random split mixing same lot,split_design_time,medium,false,true,Use lot-aware validation where lot_id exists,Assert train/test lot identifiers do not overlap
random_split_adjacent_time_windows,random split mixing adjacent time windows,split_design_time,medium,false,true,Use forward or blocked time splits as primary evidence,Assert test timestamps occur after train timestamps for time split
maintenance_after_failure,equipment maintenance event known only afterward,after_failure_or_maintenance_record,high,false,true,Use only events known before observation timestamp,Assert maintenance timestamps precede observation when used
manual_troubleshooting_label,manually assigned troubleshooting labels,after_engineering_review,high,false,true,Use only as post-hoc analysis label unless timestamped before prediction horizon,Assert label timestamp precedes prediction horizon before allowing feature use
duplicated_product_measurement,duplicated product measurements,data_preparation_time,medium,false,true,Deduplicate only with documented key policy and group-aware validation,Assert duplicate unit IDs are reported before split
recipe_or_product_hidden_proxy,recipe or product identity acting as hidden target proxy,before_or_at_observation,medium,true,true,Allow only with group-aware validation and interpretation warning,Assert product or recipe groups are tested with group split when used
