family,path_prefix,scope,repository_role,deletion_policy
battery_archive,battery_archive_,Battery Archive schema quality and reliability summaries,tracked_processed_artifact,retain_pending_reference_audit
battery_pgir_and_mechanism,battery_v2_3,Battery PGIR representation mechanism readiness evaluator and stability summaries,tracked_processed_artifact,retain_pending_reference_audit
battery_external_evidence_and_forecast,battery_v2_6,Battery forecast comparability admission provider and evidence-line summaries,tracked_processed_artifact,retain_pending_reference_audit
kaggle_nasa_battery,kaggle_battery_,Kaggle NASA battery simulation comparison summary,tracked_processed_artifact,retain_pending_reference_audit
kaggle_nasa_battery,kaggle_nasa_,Kaggle NASA battery cycle quality and feature tables,tracked_processed_artifact,retain_pending_reference_audit
materials_physics,materials_physics_,Materials physics feature coverage comparison and decision summaries,tracked_processed_artifact,retain_pending_reference_audit
materials_project,materials_project_,Materials Project acquisition descriptor structure validation and screening summaries,tracked_processed_artifact,retain_pending_reference_audit
materials_v2_2_closeout,materials_v2_2_,Materials v2.2 capability evidence claim uncertainty and closeout summaries,tracked_processed_artifact,retain_pending_reference_audit
reliability,reliability_,Reliability acquisition readiness classification trust and closeout summaries,tracked_processed_artifact,retain_pending_reference_audit
smart_factory,smart_factory_,Smart Factory readiness classification trust and closeout summaries,tracked_processed_artifact,retain_pending_reference_audit
platform_v2_4,v2_4_,Platform v2.4 external-source PGIR diffusion and cross-domain summaries,tracked_processed_artifact,retain_pending_reference_audit
external_source_compatibility,external_source_,External source compatibility audit summary,tracked_processed_artifact,retain_pending_reference_audit
retrieval_reproducibility,retrieval_reproducibility_,Retrieval reproducibility audit summary,tracked_processed_artifact,retain_pending_reference_audit
